Marca,SKU,Descripcion, P. Lista USD
EATON,000239,AE/I43E, $ 381.73 
EATON,000650,"KNK-T0 - Maintenance key, handle, for T0", $ 7.92 
EATON,000651,N-P1E, $ 21.88 
EATON,000652,N-P1Z, $ 21.88 
EATON,000693,"TM-1-8290/EZ, # Cam Switch", $ 77.47 
EATON,000694,T3-3-8401/EZ, $ 128.81 
EATON,000699,TM-2-8550/EZ, $ 141.90 
EATON,000700,TM-2-8231/EZ, $ 131.23 
EATON,000701,TM-2-8230/EZ, $ 121.15 
EATON,000893,"T0-5-15876/E, # Cam Switch", $ 94.82 
EATON,001891,CI45E-200, $ 381.24 
EATON,001893,U-CI45E, $ 196.24 
EATON,001894,"U-CI45,", $ 198.04 
EATON,001895,D200-CI45, $ 209.63 
EATON,001896,"CI45-200,", $ 459.00 
EATON,002275,SPT4, $ 21.90 
EATON,002283,K20X10, $ 44.56 
EATON,002289,ADT200-190, $ 4.11 
EATON,002290,ADT125-110, $ 1.01 
EATON,002291,HS25-CI, $ 4.43 
EATON,002292,HS50-CI, $ 5.91 
EATON,002299,EVB-ID, $ 45.47 
EATON,002304,AS-RS-CI, $ 13.18 
EATON,002305,AH-GA, $ 16.15 
EATON,002313,KD4-CI, $ 0.54 
EATON,002314,K-CI, $ 0.59 
EATON,002316,HBA-4344, $ 8.71 
EATON,002318,BFS-PT4, $ 125.76 
EATON,002325,K20X10/35, $ 17.28 
EATON,002327,K20X5/25, $ 17.50 
EATON,002388,P1-25/E-RT, $ 43.07 
EATON,002397,13DILE, $ 26.61 
EATON,002843,"D125-CI43-RAL7032, #T CI  acc", $ 76.22 
EATON,003036,M3-CI45, $ 103.45 
EATON,003080,T3-3-8212/EZ, $ 130.28 
EATON,004991,ZW7-125, $ 959.82 
EATON,005093,"CU12X5-2250, #T ID", $ 151.62 
EATON,007466,CU20X5-2250, $ 231.06 
EATON,008709,T3-2-15679/EA/SVB, $ 126.38 
EATON,008771,T3-2-8324/EA/SVB, $ 126.38 
EATON,009046,T0-1-102/E-RT, $ 37.91 
EATON,009474,T0-1-8200/E-RT, $ 36.76 
EATON,009657,T3-4-8410/E, $ 164.27 
EATON,009659,T3-4-8235/E, $ 155.89 
EATON,009741,TM-5-8247/E, $ 227.08 
EATON,009839,CU20X10-2250, $ 432.80 
EATON,010005,DILEM-10(24V50HZ), $ 62.39 
EATON,010006,DILEM-10(24V60HZ), $ 62.39 
EATON,010042,DILER-22-G(24VDC), $ 87.68 
EATON,010043,DILER-22-G(110VDC), $ 83.51 
EATON,010064,02DILEM, $ 17.16 
EATON,010080,11DILEM, $ 17.16 
EATON,010091,DILER-22-G(220VDC), $ 83.51 
EATON,010112,22DILEM, $ 26.66 
EATON,010113,"MVDILE, enclavamiento", $ 18.57 
EATON,010136,DILEM-01-G(110VDC), $ 82.37 
EATON,010157,DILER-31-G(24VDC), $ 87.68 
EATON,010205,DILER-31-G(48VDC), $ 83.51 
EATON,010208,20DILE, $ 15.66 
EATON,010211,DILER-22(115V60HZ), $ 67.45 
EATON,010213,DILEM-10-G(24VDC), $ 86.48 
EATON,010223,DILER-40-G(24VDC), $ 87.68 
EATON,010224,11DILE, $ 15.66 
EATON,010240,02DILE, $ 15.66 
EATON,010245,DILEM-10-G(48VDC), $ 82.37 
EATON,010253,DILER-31-G(110VDC), $ 83.51 
EATON,010255,DILER-40-G(48VDC), $ 83.51 
EATON,010256,04DILE, $ 26.88 
EATON,010269,DILER-31-G(220VDC), $ 83.51 
EATON,010287,DILER-40-G(110VDC), $ 87.68 
EATON,010288,22DILE, $ 26.88 
EATON,010304,40DILE, $ 26.88 
EATON,010309,DILEM-10-G(110VDC), $ 86.48 
EATON,010320,"VGDILE48, # DIL M acc", $ 25.49 
EATON,010325,DILEM-10-G(220VDC), $ 82.37 
EATON,010336,VGDILE250, $ 22.83 
EATON,010343,DILEM-01-G(24VDC), $ 86.48 
EATON,010371,T0-4-8294/E, $ 83.67 
EATON,010398,P3-63/EA/SVB/N, $ 203.52 
EATON,010405,T0-4-15682/E, $ 83.67 
EATON,010497,DILER-22(24V60HZ), $ 67.45 
EATON,010772,"V0DIL, # DIL M acc", $ 0.57 
EATON,010773,K95/1N, $ 149.24 
EATON,010795,FP-50ID, $ 155.21 
EATON,012002,T3-3-15680/EA/SVB, $ 156.80 
EATON,012247,T0-2-99/E, $ 60.19 
EATON,012253,T0-2-99/Z, $ 67.79 
EATON,012336,K95/1N/BR, $ 150.65 
EATON,012651,"SK-SW, Flotador ", $ 71.80 
EATON,012653," P3-63/EA/SVB-SW/2HI11 - Main switch, P3, 63 A, flush mounting, 3 pole", $ 219.05 
EATON,012701,"DILEM4-G(24VDC), # DIL M", $ 82.37 
EATON,012742,T0-1-8210/E, $ 42.20 
EATON,012750,T0-2-8231/E, $ 54.82 
EATON,012771,P3-63/EA/SVB-SW/N, $ 193.82 
EATON,013501,T0-3-8341/V/SVB, $ 95.40 
EATON,013966,T0-4-8246/EZ, $ 86.36 
EATON,013971,T0-4-8251/E, $ 83.39 
EATON,013972,T0-4-8251/EZ, $ 86.78 
EATON,014136,T0-5-15139/EZ, $ 110.73 
EATON,014263,"ZE-0,16", $ 88.84 
EATON,014285,"ZE-0,24", $ 88.84 
EATON,014300,"ZE-0,4", $ 88.84 
EATON,014333,"ZE-0,6", $ 88.84 
EATON,014374,T3-1-102/EA/SVB, $ 100.30 
EATON,014376,"ZE-1,0", $ 93.28 
EATON,014432,"ZE-1,6", $ 93.28 
EATON,014479,"ZE-2,4", $ 93.28 
EATON,014518,ZE-4, $ 93.28 
EATON,014565,ZE-6, $ 93.28 
EATON,014605,T0-5-25/E, $ 94.00 
EATON,014708,ZE-9, $ 93.28 
EATON,014709,K150/1/BR, $ 240.77 
EATON,014752,"ZE-12 - Relé de sobrecarga, Ir= 9 - 12 A, 1 N/O, 1 N/C, Montaje directo", $ 93.28 
EATON,014815,BS4-CI, $ 25.22 
EATON,014830,D125-CI23, $ 63.38 
EATON,015112,T0-3-8228/E, $ 72.71 
EATON,015123,T0-2-8231/EZ, $ 57.59 
EATON,015124,T0-6-8271/E, $ 118.67 
EATON,015130,T0-2-8177/E, $ 54.82 
EATON,015137,TM-1-8210/EZ, $ 94.09 
EATON,015144,P3-63/V/SVB/N, $ 237.33 
EATON,015145,P1-32/V/SVB/HI11, $ 133.67 
EATON,015147,T0-1-102/IVS, $ 46.50 
EATON,015148,P1-32/Z/N, $ 93.35 
EATON,015256,TM-2-8241/EZ, $ 122.52 
EATON,015506," TM-2-8242/EZ - Step switches, TM, 10 A, centre mounting, 2 contact unit(s)", $ 132.68 
EATON,015537,TM-3-8243/EZ, $ 154.07 
EATON,015554,"TM-3-8401/E - Interruptores de marcha atrás, TM, 10 A, montaje empotrado", $ 150.67 
EATON,015571,T0-3-15683/EA/SVB, $ 98.71 
EATON,015630,TM-3-8233/EZ, $ 170.18 
EATON,015661,TM-5-8237/EZ, $ 246.34 
EATON,016318,T3-1-102/E-RT, $ 66.12 
EATON,016619,T0-3-15683/E, $ 69.24 
EATON,016751,T3-2-8215/E, $ 98.51 
EATON,016912,"T3-1-8/E, # Cam Switch", $ 101.69 
EATON,017203,D125-CI43, $ 195.33 
EATON,017236,FL4-3, $ 41.79 
EATON,017253,H-P1, $ 6.63 
EATON,017503,T0-2-8177/EZ, $ 57.59 
EATON,017527,CI43-125, $ 192.68 
EATON,017914,SWRL50-ID, $ 78.79 
EATON,017926,TM-2-8219/E, $ 128.43 
EATON,018053,"T0-1-15434/EZ, # Cam Switch", $ 37.94 
EATON,019095,P1DILEM, $ 27.40 
EATON,019120,T3-1-102/V/SVB, $ 104.17 
EATON,019570,CI23E-125, $ 143.69 
EATON,019576,D125-CI44, $ 106.21 
EATON,019626,H-P14, $ 8.60 
EATON,019658,"KT13,5", $ 4.02 
EATON,019709,M3-CI23, $ 35.63 
EATON,019711,MCS4, $ 191.50 
EATON,019837,22DIL, $ 28.42 
EATON,019863,T0-1-8214/E, $ 41.08 
EATON,019864,T0-4-8223/EZ, $ 86.68 
EATON,019871,T0-2-15422/E, $ 52.08 
EATON,019872,T0-1-15431/E, $ 41.98 
EATON,019875,T0-1-15511/E, $ 39.98 
EATON,019890,P3-100/EA/SVB/N, $ 266.80 
EATON,019892,T0-4-15682/EA/SVB, $ 113.26 
EATON,019925,"UV-T0, # Cam Switch acc", $ 8.92 
EATON,020300,TM-2-8550/E, $ 127.75 
EATON,020402,DILEM-01(24V50/60HZ), $ 65.51 
EATON,020499,T3-4-5/E, $ 379.65 
EATON,021417,DILEM-10(24V50/60HZ), $ 65.51 
EATON,021455,DILEM-10(110V50/60HZ), $ 62.39 
EATON,021594,DILER-31(24V50/60HZ), $ 70.82 
EATON,021704,DILER-22(24V50/60HZ), $ 70.82 
EATON,021871,DILER-22(110V50/60HZ), $ 67.45 
EATON,021924,DILER-40(24V50/60HZ), $ 70.82 
EATON,021943,CI23E-150, $ 172.46 
EATON,021944,CI44-200, $ 379.37 
EATON,021961,DILER-40(110V50/60HZ, $ 67.45 
EATON,021982,FL4-5, $ 44.11 
EATON,021999,H-P3, $ 8.63 
EATON,022031,KT16, $ 4.98 
EATON,022234,T0-2-8211/E, $ 52.08 
EATON,022236,T0-2-8215/E, $ 54.39 
EATON,022244,T0-2-15422/EZ, $ 52.20 
EATON,022245,T0-1-15431/EZ, $ 42.95 
EATON,022248,T0-1-15511/EZ, $ 42.95 
EATON,022264,P3-63/EA/SVB-SW/HI11, $ 189.47 
EATON,022298,ZVV-T0   , $ 5.64 
EATON,023869,T3-4-15682/E, $ 156.45 
EATON,023870,T3-3-8216/E, $ 127.45 
EATON,024322,D150-CI23, $ 80.74 
EATON,024355,FL4-X, $ 59.22 
EATON,024604,T0-4-8410/E, $ 77.28 
EATON,024636,P3-100/V/SVB/N, $ 281.87 
EATON,024637,P3-63/V/SVB/HI11, $ 218.82 
EATON,024639,T0-2-1/E, $ 41.98 
EATON,024646,"CI43X-150, Panel Enclosure", $ 223.59 
EATON,024670,"ZFSX-T0, porta etiquetas para T5, T5B, P3, 88x27mm", $ 2.44 
EATON,024671,ZVV-P3, $ 6.63 
EATON,025046,TM-4-8552/E, $ 204.05 
EATON,026861,P3-63/E, $ 116.29 
EATON,026988,T0-3-8232/E, $ 69.24 
EATON,027012,"T0-2-1/EZ - On-Off switch, T0, 20 A, centre mounting, 2 contact unit(s), 3 pole", $ 42.59 
EATON,027043,ZFSX-P3, $ 3.70 
EATON,027044,ZAV-T0, $ 4.92 
EATON,028641,T3-3-8451/E, $ 127.45 
EATON,029150,KT29, $ 8.23 
EATON,029201,M3-CI43, $ 53.21 
EATON,029203,MCSN11, $ 187.23 
EATON,029353,T0-3-8212/E, $ 57.99 
EATON,029368,T0-4-15602/E, $ 87.86 
EATON,029382,T0-3-8342/EA/SVB, $ 98.71 
EATON,029383,P3-100/EA/SVB/HI11, $ 250.90 
EATON,029387," T0-2-15679/E - On-Off switch, 3 polos+ 1 N/O, 20 A, 90 °", $ 47.24 
EATON,029392,"CI43X-200, Panel Enclosure", $ 215.79 
EATON,029417,ZAV-P3, $ 5.00 
EATON,029452,T0-2-15920/IVS, $ 62.89 
EATON,029769,D-K3X240, $ 125.74 
EATON,030170,ZFS61/62-T0, $ 3.62 
EATON,030851,AK-PKZ0, $ 5.13 
